Country;Health Care Index (Overall)
Taiwan;78.72
South Korea;77.7
Australia;74.11
Canada;71.32
Sweden;70.73
Ireland;67.99
Netherlands;65.38
Germany;64.66
Norway;64.63
Israel;61.73
Belgium;60.16
Switzerland;59.6
Japan;59.52
Singapore;57.96
United States;56.71
Austria;54.86
United Arab Emirates;52.3
Czech Republic;52.25
Finland;52.1
Portugal;51.99
New Zealand;50.15
Italy;49.58
Hong Kong;48.64
Denmark;48.54
France;48.27
Spain;48.13
United Kingdom;47.15
Greece;46.24
India;45.84
Luxembourg;45.62
Croatia;45.3
Lithuania;45.3
Slovenia;45.29
Estonia;45.1
Cyprus;44.72
Iceland;44.55
Saudi Arabia;44.43
Brazil;43.06
Indonesia;42.99
Latvia;42.92
Bulgaria;42.5
Russia;42.31
Slovakia;41.99
Hungary;41.97
Mexico;41.63
China;41.4
Costa Rica;39.85
North Macedonia;39.65
Tunisia;39.37
Lebanon;39.03
Georgia;39.02
Bosnia And Herzegovina;38.95
Albania;38.65
Bahrain;38.48
Malta;38.43
Jordan;38.13
Azerbaijan;37.94
Serbia;37.76
Poland;37.71
Turkey;37.16
Belarus;37.08
Panama;36.74
Uruguay;36.31
Uzbekistan;36.26
Venezuela;35.96
Oman;35.85
Argentina;35.64
Angola;35.61
Kenya;35.32
Puerto Rico;35.16
Dominican Republic;35.09
Ecuador;34.97
Kuwait;34.78
Morocco;34.78
Qatar;34.63
Ukraine;34.61
Algeria;34.37
Kazakhstan;34.28
Iraq;33.84
Peru;33.65
Colombia;33.38
South Africa;33.22
Thailand;33.01
Nigeria;32.94
Romania;32.89
Chile;32.88
Philippines;32.55
Malaysia;32.52
Vietnam;32.42
Bangladesh;31.9
Egypt;28.5
Iran;28.2
Guatemala;27.9
Tanzania;27.6
Turkmenistan;27.3
Cote dIvoire;27.2
Ghana;27
Myanmar;26.3
Uganda;25.8
Cameroon;25.7
Democratic Republic of the Congo;25.6
Sudan;25.6
Libya;25.2
Pakistan;22.7
Sri Lanka;22.5
Bolivia;22.3
Paraguay;21.9
Nepal;21.4
Honduras;19.6
El Salvador;18.6
