Entity;Year;Working hours per worker
Albania;2023;2151.97
Algeria;2023;2232.41
Angola;2023;2114.5
Argentina;2023;1612.12
Armenia;2023;1976.15
Australia;2023;1611.13
Austria;2023;1438.45
Azerbaijan;2023;1790.75
Bahrain;2023;2052.43
Bangladesh;2023;2383.18
Belarus;2023;1874.84
Belgium;2023;1593.29
Bolivia;2023;1967.76
Bosnia and Herzegovina;2023;2121.9
Botswana;2023;2258.06
Brazil;2023;1993.72
Bulgaria;2023;1659.33
Burkina Faso;2023;2356.19
Cambodia;2023;2388.86
Cameroon;2023;2180.62
Canada;2023;1731.02
Chad;2023;1585.39
Chile;2023;1949.71
China;2023;2327.79
Colombia;2023;2470.61
Congo;2023;2534.17
Costa Rica;2023;2176.92
Cote d'Ivoire;2023;2103.1
Croatia;2023;1974.04
Cyprus;2023;1839.56
Czechia;2023;1774.15
Democratic Republic of Congo;2023;1840.97
Denmark;2023;1379.94
Dominican Republic;2023;2072.15
Ecuador;2023;1593.77
Egypt;2023;2368.51
Estonia;2023;1605.74
Ethiopia;2023;1599.42
Finland;2023;1496.85
France;2023;1487.1
Gabon;2023;2174.15
Georgia;2023;1931.53
Germany;2023;1335.27
Ghana;2023;1655.62
Greece;2023;1893.06
Guatemala;2023;2150.62
Hungary;2023;1668.16
Iceland;2023;1451.99
India;2023;2382.58
Indonesia;2023;1958.47
Iran;2023;2246.08
Iraq;2023;1583.22
Ireland;2023;1654.04
Israel;2023;1890.21
Italy;2023;1701.42
Jamaica;2023;1962.72
Japan;2023;1653.9
Jordan;2023;2483.18
Kazakhstan;2023;1974.69
Kenya;2023;2034.65
Kuwait;2023;2317.94
Kyrgyzstan;2023;1830.13
Latvia;2023;1625.24
Lebanon;2023;2411.99
Lithuania;2023;1640.35
Luxembourg;2023;1452.08
Madagascar;2023;1799.34
Malawi;2023;1595.66
Malaysia;2023;2307.51
Mali;2023;2242.52
Malta;2023;1847.84
Mauritius;2023;1989.89
Mexico;2023;1628.87
Moldova;2023;1989.17
Morocco;2023;2173.69
Mozambique;2023;1506.83
Myanmar;2023;2197.01
Namibia;2023;2184.01
Netherlands;2023;1438.74
New Zealand;2023;1707.52
Niger;2023;2069.49
Nigeria;2023;2061.69
North Macedonia;2023;1948.89
Norway;2023;1412.06
Oman;2023;2266.32
Pakistan;2023;2471.08
Paraguay;2023;2122.59
Peru;2023;2142.96
Philippines;2023;2095.96
Poland;2023;1806.92
Portugal;2023;1734.94
Qatar;2023;2435.01
Romania;2023;1825.92
Russia;2023;2086.68
Rwanda;2023;1584.32
Saudi Arabia;2023;2124.51
Senegal;2023;2335.23
Serbia;2023;1995.18
Singapore;2023;2283.18
Slovakia;2023;1621.23
Slovenia;2023;1587.57
South Africa;2023;2181.43
South Korea;2023;1910.23
Spain;2023;1637.99
Sri Lanka;2023;2053.13
Sudan;2023;2658.04
Sweden;2023;1431.5
Switzerland;2023;1528.94
Syria;2023;1620.53
Taiwan;2023;2031.58
Tajikistan;2023;2134.26
Tanzania;2023;2128.73
Thailand;2023;2177.17
Trinidad and Tobago;2023;1609.81
Tunisia;2023;2288.01
Turkey;2023;1747.46
Turkmenistan;2023;2178.62
Uganda;2023;2127.9
Ukraine;2023;2044.97
United Arab Emirates;2023;2514.45
United Kingdom;2023;1522.8
United States;2023;1788.88
Uruguay;2023;1481.13
Uzbekistan;2023;2098.62
Vietnam;2023;2160.49
Yemen;2023;1382.1
Zambia;2023;2199.55
Zimbabwe;2023;2311.02
